,molecule_chembl_id,smiles,IC50,std_units,pIC50,molecular_species,heavy_atoms,full_mwt,hbd,hba,psa,rtb,alogp,num_ro5_violations,max_phase,document_chembl_id
0,CHEMBL4170225,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)[nH]3)nc2cc1OCCCN1CCCC1,"0,5",nM,"9,301029996",BASE,35,477.65,2,6,65.65,9,4.92,0,,CHEMBL4130634
1,CHEMBL4162206,COc1cc2c(NC3CCN(C(C)C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1,"0,7",nM,"9,15490196",BASE,37,508.75,1,6,49.86,10,6.44,2,,CHEMBL4130634
2,CHEMBL3109639,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,"0,9",nM,"9,045757491",BASE,23,317.43,1,5,60.08,6,2.84,0,,CHEMBL3108684
3,CHEMBL3109631,COc1cc2c(cc1OCC1CCN(C)C1)N=C(N)C21CCC1,1,nM,9,BASE,23,315.42,1,5,60.08,4,2.45,0,,CHEMBL3108684
4,CHEMBL5187766,COc1cc2c(NCCN)ccnc2cc1OCCCN1CCCC1,"1,6",nM,"8,795880017",BASE,25,344.46,2,6,72.64,9,2.48,0,,CHEMBL5113445
5,CHEMBL4160008,CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,2,nM,"8,698970004",BASE,36,492.66,1,7,63.00,10,5.44,1,,CHEMBL4130634
6,CHEMBL1829295,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCC1,2,nM,"8,698970004",BASE,41,567.82,1,9,69.23,11,4.71,1,,CHEMBL1828613
7,CHEMBL4159604,COc1cc2c(NC3CCN(C)CC3)cc(C3CCCCC3)nc2cc1OCCCN1CCCC1,2,nM,"8,698970004",BASE,35,480.70,1,6,49.86,9,5.66,1,,CHEMBL4130634
8,CHEMBL5195846,COc1cc2c(N)ccnc2cc1OCCCN1CCCC1,"2,4",nM,"8,619788758",BASE,22,301.39,1,5,60.61,6,2.69,0,,CHEMBL5113445
9,CHEMBL4173626,CCc1ccc(-c2cc(NC3CCN(C(C)C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,3,nM,"8,522878745",BASE,38,520.72,1,7,63.00,11,6.22,2,,CHEMBL4130634
10,CHEMBL4171233,COc1cc2c(NC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,3,nM,"8,522878745",BASE,37,506.69,1,7,63.00,10,5.96,2,,CHEMBL4130634
11,CHEMBL3109630,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,3,nM,"8,522878745",BASE,24,329.44,1,5,60.08,6,2.98,0,,CHEMBL3108684
12,CHEMBL4795328,CNc1cc(C)nc(Nc2ccc(OC(F)F)c(C3=CCNCCC3)c2)n1,"3,25",nM,"8,488116639",BASE,27,375.42,3,6,71.10,6,3.94,0,,CHEMBL4725338
13,CHEMBL3109637,COc1cc2c(cc1OCCCN1CC[C@@H](F)C1)N=C(N)C21CCC1,"3,7",nM,"8,431798276",BASE,25,347.43,1,5,60.08,6,2.93,0,,CHEMBL3108684
14,CHEMBL4865830,COc1cc2c(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)cc(C)nc2cc1OCCCN1CCCC1,4,nM,"8,397940009",BASE,40,549.68,3,10,124.97,11,3.65,1,,CHEMBL4834403
15,CHEMBL4287479,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCN(C)CC3)nc2cc1OCCCN1CCCCC1,4,nM,"8,397940009",BASE,39,539.77,1,9,69.23,10,3.93,1,,CHEMBL4261502
16,CHEMBL1829305,COc1cc2c(NC3CCN(CC4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,4,nM,"8,397940009",BASE,46,635.94,1,9,69.23,12,6.27,2,,CHEMBL1828613
17,CHEMBL4741874,CNc1cc(C)nc(Nc2ccc(OC)c(C3=CCNCCC3)c2)n1,"4,31",nM,"8,36552273",BASE,25,339.44,3,6,71.10,5,3.35,0,,CHEMBL4725338
18,CHEMBL3109634,COc1cc2c(cc1OCCCN1CC(F)C1)N=C(N)C21CCC1,"4,8",nM,"8,318758763",BASE,24,333.41,1,5,60.08,6,2.54,0,,CHEMBL3108684
19,CHEMBL3109632,COc1cc2c(cc1OCC1CCCN1C)N=C(N)C21CCC1,5,nM,"8,301029996",BASE,23,315.42,1,5,60.08,4,2.59,0,,CHEMBL3108684
20,CHEMBL4211688,CCc1ccc(-c2cc(NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,5,nM,"8,301029996",BASE,39,532.73,1,7,63.00,11,5.93,2,,CHEMBL4190398
21,CHEMBL1829294,CCN1CCCN(c2nc(NC3CCN(C(C)C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)CC1,5,nM,"8,301029996",BASE,40,553.80,1,9,69.23,11,4.32,1,,CHEMBL1828613
22,CHEMBL5193402,COc1cc2c(NCCNC(C)=O)ccnc2cc1OCCCN1CCCC1,"5,2",nM,"8,283996656",BASE,28,386.50,2,6,75.72,10,2.66,0,,CHEMBL5113445
23,CHEMBL4458252,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCCC1,6,nM,"8,22184875",BASE,25,343.47,1,5,60.08,6,3.37,0,,CHEMBL4321817
24,CHEMBL4163369,COc1cc2c(NC3CCN(C)CC3)cc(C)nc2cc1OCCCN1CCCC1,6,nM,"8,22184875",BASE,30,412.58,1,6,49.86,8,3.92,0,,CHEMBL4130634
25,CHEMBL4163329,COc1cc2c(NC3CCNCC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,6,nM,"8,22184875",BASE,34,464.61,2,7,71.79,9,4.84,0,,CHEMBL4130634
26,CHEMBL4173668,COc1cc2c(NC3CCN(C)CC3)cc(C3=CCCCC3)nc2cc1OCCCN1CCCC1,6,nM,"8,22184875",BASE,35,478.68,1,6,49.86,9,5.57,1,,CHEMBL4130634
27,CHEMBL1829304,COc1cc2c(NC3CCN(C4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,6,nM,"8,22184875",BASE,45,621.91,1,9,69.23,11,6.02,2,,CHEMBL1828613
28,CHEMBL4756618,CNc1cc(C)nc(Nc2ccc(Cl)c(C3=CCNCCC3)c2)n1,"6,32",nM,"8,199282922",BASE,24,343.86,3,5,61.87,4,3.99,0,,CHEMBL4725338
29,CHEMBL4173662,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccoc3)nc2cc1OCCCN1CCCC1,7,nM,"8,15490196",BASE,34,464.61,1,7,63.00,9,4.87,0,,CHEMBL4130634
30,CHEMBL4204482,COc1cc2c(NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,7,nM,"8,15490196",BASE,40,546.76,1,7,63.00,10,6.74,2,,CHEMBL4190398
31,CHEMBL1829297,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCCN(CC4CCCCC4)CC3)nc2cc1OCCCN1CCCC1,7,nM,"8,15490196",BASE,45,621.92,1,9,69.23,12,5.88,2,,CHEMBL1828613
32,CHEMBL4848955,COc1cc2nc(C)cc(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)c2cc1OC,"7,2",nM,"8,142667504",BASE,33,452.52,3,9,121.73,7,2.80,0,,CHEMBL4834403
33,CHEMBL1828637,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,8,nM,"8,096910013",BASE,42,581.85,1,9,69.23,11,5.10,2,,CHEMBL1828613
34,CHEMBL4290900,COc1cc2c(NC3CCN(Cc4ccccc4)CC3)nc(N3CCN(C)CC3)nc2cc1OCCCN(C)C,8,nM,"8,096910013",BASE,40,547.75,1,9,69.23,11,3.80,1,,CHEMBL4261502
