"""Molecule ChEMBL ID",Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value
"""CHEMBL2336409",,0,461.53,1,5.65,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,IC50,'=',11220,nM,4.95
"""CHEMBL1916683",,0,261.28,0,1.45,CN1CC2ON=C(Cc3ccc([N+](=O)[O-])cc3)C2C1,IC50,'=',310000,nM,
"""CHEMBL3109075",,0,398.46,0,4.48,O=C(O)[C@@H]1[C@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccc2ccccc2c1,IC50,'=',128000,nM,
"""CHEMBL3109080",,0,351.38,0,3.19,O=C(O)[C@H](Cc1csc2ccccc12)N1C(=O)c2ccccc2C1=O,IC50,'=',230000,nM,
"""CHEMBL3126645",,0,461.53,1,5.65,Cc1cc(Nc2ccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)cc2)nc(N)n1,IC50,'=',265000,nM,
"""CHEMBL1361703",,0,416.43,0,3.98,COc1ccccc1CNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,IC50,'=',7110,nM,5.15
"""CHEMBL1322848",,0,406.53,0,2.39,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc4c(s3)CCC4)CC2)cc1,IC50,'=',11300,nM,4.95
"""CHEMBL1373655",,0,322.32,0,3.34,CC1=NN(c2cccc(C(=O)O)c2)C(=O)/C1=C\C=C\c1ccco1,IC50,'=',1180,nM,5.93
"""CHEMBL1529285",,0,464.52,1,5.15,O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1,IC50,'=',10100,nM,5
"""CHEMBL1301673",,0,422.49,0,2.28,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C=C/C=C/C)C3)c1,IC50,'=',3250,nM,5.49
"""CHEMBL1916517",,0,249.27,0,1.65,CN(C)CC1CC(c2ccc([N+](=O)[O-])cc2)=NO1,IC50,'=',150000,nM,3.82
"""CHEMBL4203933",,0,532.73,2,6.22,CCc1ccc(-c2cc(NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,IC50,'=',316.23,nM,6.5
"""CHEMBL1340117",,0,410.47,0,2.12,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C=C/CC)C3)c1,IC50,'=',5960,nM,5.22
"""CHEMBL1356373",,0,442.46,0,4.12,O=C(O)CCc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2N2CCCC2)cc1,IC50,'=',11700,nM,4.93
"""CHEMBL1983083",,0,434.41,0,3.08,O=C(COc1ccc(/C=N/NC(=O)c2ccc(O)cc2)cc1)Nc1ccc([N+](=O)[O-])cc1,IC50,'=',8430,nM,5.07
"""CHEMBL1893341",,0,333.37,0,2.5,COC(=O)c1ccc(C(=O)OC)c(NC(=O)Cc2cccs2)c1,IC50,'=',8170,nM,5.09
"""CHEMBL1373095",,0,460.52,0,4.22,O=C(Nc1cccc(S(=O)(=O)NC2=NCCC2)c1)c1cc(-c2ccco2)nc2ccccc12,IC50,'=',3710,nM,5.43
"""CHEMBL4177036",,0,480.65,0,4.42,COc1cc2c(NC3CCN(C)CC3)cc(C3=CCOCC3)nc2cc1OCCCN1CCCC1,IC50,'=',957,nM,6.02
"""CHEMBL4176464",,0,518.7,2,5.97,CCc1ccc(-c2cc(NC3CCN(C4CC4)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,IC50,'=',274,nM,6.56
"""CHEMBL3414630",,0,548.77,2,6.37,CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1,IC50,'=',4000,nM,5.4
"""CHEMBL3126646",,0,461.53,1,5.65,Cc1cc(Nc2cccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)c2)nc(N)n1,IC50,'=',9000,nM,5.05
"""CHEMBL1916680",,0,217.27,0,0.93,CN1CC2ON=C(c3ccc(N)cc3)C2C1,IC50,'=',570000,nM,
"""CHEMBL1916669",,0,219.29,0,1.32,CN(C)CC1CC(c2ccc(N)cc2)=NO1,IC50,'=',270000,nM,
"""CHEMBL1916684",,0,246.31,0,1.55,COc1ccc(CC2=NOC3CN(C)CC23)cc1,IC50,'=',1130000,nM,
"""CHEMBL1416694",,0,245.37,0,3.94,CC(C)(C)CC(=O)Nc1cccc2c1CCCC2,IC50,'>',99000,nM,
"""CHEMBL1981446",,0,403.41,0,4,O=C(N/N=C/c1cn(Cc2cccc(F)c2)c2ccccc12)c1cc(O)cc(O)c1,IC50,'=',2390,nM,5.62
"""CHEMBL1433062",,0,386.79,0,2.65,COc1ccc(OC)c(N2C(=O)[C@H]3ON=C(c4ccccc4Cl)[C@H]3C2=O)c1,IC50,'=',4350,nM,5.36
"""CHEMBL1322547",,0,496.56,0,3.55,C/C=C/C=C/C(=O)C1=C(O)[C@]2(C)C(=O)C(C)(O)[C@H]1[C@H]([C@]1(C)OC(O)=C(C)C1=O)[C@H]2C(=O)/C=C/C=C/C,IC50,'=',5250,nM,5.28
"""CHEMBL3126652",,0,441.5,0,3.79,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4cc(C)nc(N)n4)cc3)cc2)nc(N)n1,IC50,'=',68000,nM,4.17
"""CHEMBL2204997",,0,541.7,1,4.31,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc2c1cnn2C(C)C,IC50,'=',121000,nM,
"""CHEMBL4211688",,0,532.73,2,5.93,CCc1ccc(-c2cc(NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,IC50,'=',80,nM,7.1
"""CHEMBL559715",,0,385.4,0,-1.73,N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O)C(=O)O,IC50,'>',1000000,nM,
"""CHEMBL552246",,0,385.41,1,-2.04,Nc1ncnc2c1nnn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',8000,nM,5.1
"""CHEMBL1536256",,0,465.56,0,4.22,COc1ccc(-c2nn(-c3ccccc3)cc2/C=C2/SC(=S)N(CCC(=O)O)C2=O)cc1,IC50,'=',5060,nM,5.3
"""CHEMBL1543134",,0,338.32,0,2.91,O=C(CNC(=O)/C=C/c1ccco1)N=Nc1c(O)[nH]c2ccccc12,IC50,'=',3250,nM,5.49
"""CHEMBL1558195",,0,455.54,0,3.15,CCOc1ccc(NC(=O)c2cccc(-n3cccc3)c2)cc1S(=O)(=O)N1CCOCC1,IC50,'=',9080,nM,5.04
"""CHEMBL1536569",,0,482.76,1,5.96,CC1(C)CC([NH+]=c2cc(-c3ccccc3)oc3ccc(Cl)cc23)CC(C)(C)N1.F[B-](F)(F)F,IC50,'>',99000,nM,
"""CHEMBL1303509",,0,468.29,0,3.57,O=C(O)c1ccccc1-c1ccc(C=c2sc3nc4cc(Br)cnc4n3c2=O)o1,IC50,'=',1020,nM,5.99
"""CHEMBL1508582",,0,435.53,0,3.5,CCN(CC)CCCNc1nc2cc(OC)c(OC)cc2c2nc(-c3cccnc3)nn12,IC50,'=',23400,nM,4.63
"""CHEMBL1347385",,0,412.47,1,5.05,O=C1NN(c2ccccc2)C(=O)/C1=C/c1ccc(Sc2cccc3ccccc23)o1,IC50,'=',7120,nM,5.15
"""CHEMBL1464200",,0,234.19,0,0.13,Nc1cc(S(=O)(=O)O)cc([N+](=O)[O-])c1O,IC50,'=',3200,nM,5.5
"""CHEMBL1890961",,0,199.21,0,1.11,O=C1C=C(N2CC2)c2ccccc2C1=O,IC50,'=',1870,nM,5.73
"""CHEMBL1539325",,0,314.18,0,2.66,CC1(C)CCCN(C(=O)c2coc(=O)c(Br)c2)C1,IC50,'=',2920,nM,5.54
"""CHEMBL1462469",,0,486.6,0,4.87,COc1ccc(-c2csc(NC(=O)CSc3nc(C)nc4sc(C(=O)O)c(C)c34)n2)cc1,IC50,'=',14600,nM,4.84
"""CHEMBL1522300",,0,445.48,0,3.05,COc1ccc(N2Cc3cccc(C(=O)N4CCN(C(=O)c5ccco5)CC4)c3C2=O)cc1,IC50,'=',9040,nM,5.04
"""CHEMBL549412",,0,460.52,1,0.72,NC(CCSC[C@H]1O[C@@H](n2cnc3c(Nc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,IC50,'=',154000,nM,
"""CHEMBL1231795",,0,509.74,2,5.84,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,IC50,'=',2010,nM,5.7
"""CHEMBL4173668",,0,478.68,1,5.57,COc1cc2c(NC3CCN(C)CC3)cc(C3=CCCCC3)nc2cc1OCCCN1CCCC1,IC50,'=',494,nM,6.31
"""CHEMBL1231795",,0,509.74,2,5.84,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,IC50,'=',1287,nM,5.89
"""CHEMBL561047",,0,383.43,0,-0.83,Nc1nccc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',45000,nM,4.35
"""CHEMBL558406",,0,430.51,1,-0.72,CSc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]3O)c2n1,IC50,'=',216000,nM,
"""CHEMBL556265",,0,474.54,1,0.59,NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,IC50,'=',61000,nM,4.21
