SMILES,ID,Database
CC1=C(C(=O)C=C2C1=CC=C3[C@]24C[C@H]4C[C@@]56[C@]3(CC[C@@]78[C@@]5(C6)C[C@@H](C[C@@H]7C8)CO)C)O,17_3_1_11_13,AfroDb
C[C@@H]1Cc2ccc(c(c2[C@H](N1)C)O)c3c4cccc(c4c(cc3CO)OC)O,17_3_1_17_16,AfroDb
Cc1cc(c2c(c1c3ccc4c(c3O)[C@H](N[C@@H](C4)C)C)cccc2OC)OC,17_3_1_17_17,AfroDb
Cc1cc2c(ccc(c2c(c1)OC)O)c3ccc(c4c3C[C@H](N[C@@H]4C)C)O,17_3_1_17_19,AfroDb
Cc1cc2c(cc(c(c2c(c1)OC)O)c3cc(c4cc(cc(c4c3O)OC)C)c5c(cc(c6c5C[C@H](N[C@@H]6C)C)O)O)c7c(cc8c(c7OC)C(=N[C@H](C8)C)C)O,17_3_1_17_20,AfroDb
COc1ccc2c(c1)oc3c(c2=O)cccc3O,17_3_1_20_22,AfroDb
COc1cccc2c1oc3cc(ccc3c2=O)O,17_3_1_20_24,AfroDb
Cc1cc2c(c(c1)O)C(=O)c3c(cc(cc3O)OC/C=C(\C)/CCC=C(C)C)C2,17_3_1_20_25,AfroDb
CC(=CCC/C(=C/COc1cc2cc3c(c(c2c(c1)O)O)C(=O)C[C@](C3)(C)OC(=O)C)/C)C,17_3_1_20_26,AfroDb
CC1=C(C(C(=C(C1=O)CC2=C(C(C(=C(C2=O)C)O)(C)C)O)O)(C)C)O,17_3_1_20_27,AfroDb
CC(C)C(=O)c1c(c(c(c2c1O[C@@](C=C2)(C)CCC=C(C)C)O)CC3=C(C(C=C(C3=O)C(=O)C(C)C)(C)C)O)O,17_3_1_20_28,AfroDb
CC(=CCOc1cc2cc3c(c(c2c(c1)O)O)C(=O)C[C@@](C3)(C)OC(=O)C)C,17_3_1_20_29,AfroDb
C[N@]1CCc2cc(c(cc2[C@@H]1Cc3ccccc3O)Cc4c5c(cc(c4OC)OC)[C@@H]6c7cc(c(cc7[C@H](C5)C[N@]6C)OC)OC)OC,17_3_1_21_30,AfroDb
C[N@]1CCc2cc(c(cc2[C@@H]1Cc3ccccc3OC)Cc4c5c(cc(c4OC)OC)[C@@H]6c7cc(c(cc7[C@H](C5)C[N@]6C)O)OC)OC,17_3_1_21_31,AfroDb
C[N@]1CCc2cc(c(cc2[C@@H]1Cc3ccccc3OC)Cc4c5c(cc(c4OC)OC)[C@@H]6c7cc(c(cc7[C@H](C5)C[N@]6C)OC)OC)OC,17_3_1_21_32,AfroDb
C[N@]1CCc2cc(c(cc2[C@@H]1Cc3ccc(cc3)O)Cc4c5c(cc(c4OC)OC)[C@@H]6c7cc(c(cc7[C@H](C5)C[N@]6C)O)OC)OC,17_3_1_21_,AfroDb
