,molecule_chembl_id,SMILES,pIC50
0,CHEMBL4170225,COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)[nH]3)[nH]c2cc1OCCCN1CCCC1,9.301029995663981
1,CHEMBL4162206,COc1cc2c(=NC3CCN(C(C)C)CC3)cc(C3CCCCC3)[nH]c2cc1OCCCN1CCCC1,9.154901959985743
2,CHEMBL3109639,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C2(C)C,9.045757490560675
3,CHEMBL3109631,COc1cc2c(cc1OCC1CCN(C)C1)N=C(N)C21CCC1,9.0
4,CHEMBL5187766,COc1cc2c(=NCCN)cc[nH]c2cc1OCCCN1CCCC1,8.795880017344075
5,CHEMBL4160008,CCc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,8.698970004336019
6,CHEMBL1829295,COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCC1,8.698970004336019
7,CHEMBL4159604,COc1cc2c(=NC3CCN(C)CC3)cc(C3CCCCC3)[nH]c2cc1OCCCN1CCCC1,8.698970004336019
8,CHEMBL5195846,COc1cc2c(=N)cc[nH]c2cc1OCCCN1CCCC1,8.619788758288394
9,CHEMBL4173626,CCc1ccc(-c2cc(=NC3CCN(C(C)C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,8.522878745280337
10,CHEMBL4171233,COc1cc2c(=NC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,8.522878745280337
11,CHEMBL3109630,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,8.522878745280337
12,CHEMBL4795328,CN=c1cc(C)[nH]c(=Nc2ccc(OC(F)F)c(C3=CCNCCC3)c2)[nH]1,8.488116639021126
13,CHEMBL3109637,COc1cc2c(cc1OCCCN1CCC(F)C1)N=C(N)C21CCC1,8.431798275933005
14,CHEMBL4865830,COc1cc2c(=NCC3CCN(c4ncc(C(O)=NO)cn4)CC3)cc(C)[nH]c2cc1OCCCN1CCCC1,8.397940008672037
15,CHEMBL4287479,COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(N3CCN(C)CC3)nc2cc1OCCCN1CCCCC1,8.397940008672037
16,CHEMBL1829305,COc1cc2c(=NC3CCN(CC4CCCCC4)CC3)[nH]c(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,8.397940008672037
17,CHEMBL4741874,CN=c1cc(C)[nH]c(=Nc2ccc(OC)c(C3=CCNCCC3)c2)[nH]1,8.365522729839268
18,CHEMBL3109634,COc1cc2c(cc1OCCCN1CC(F)C1)N=C(N)C21CCC1,8.318758762624412
19,CHEMBL3109632,COc1cc2c(cc1OCC1CCCN1C)N=C(N)C21CCC1,8.301029995663981
20,CHEMBL4211688,CCc1ccc(-c2cc(=NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,8.301029995663981
21,CHEMBL1829294,CCN1CCCN(c2nc(=NC3CCN(C(C)C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)CC1,8.301029995663981
22,CHEMBL5193402,COc1cc2c(=NCCNC(C)=O)cc[nH]c2cc1OCCCN1CCCC1,8.2839966563652
23,CHEMBL4458252,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCCC1,8.221848749616356
24,CHEMBL4163369,COc1cc2c(=NC3CCN(C)CC3)cc(C)[nH]c2cc1OCCCN1CCCC1,8.221848749616356
25,CHEMBL4163329,COc1cc2c(=NC3CCNCC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,8.221848749616356
26,CHEMBL4173668,COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCCCC3)[nH]c2cc1OCCCN1CCCC1,8.221848749616356
27,CHEMBL1829304,COc1cc2c(=NC3CCN(C4CCCCC4)CC3)[nH]c(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,8.221848749616356
28,CHEMBL4756618,CN=c1cc(C)[nH]c(=Nc2ccc(Cl)c(C3=CCNCCC3)c2)[nH]1,8.199282921717614
