ID,SMILES_no_chiral,SMILES_chiral,NPL_score
FQNP502,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,0.747
FQNP281,C=C(C)C(C)(C)CCC(C)C1CCC2(C)C3CCC4C(C)(C)C5CCC4(O5)C3(C)CCC12C,C=C(C)C(C)(C)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CCC4C(C)(C)[C@@H]5CC[C@]4(O5)[C@]3(C)CC[C@]12C,2.665
FQNP553,C=C(C)C1(OO)CCC2(C)CCCC(C)(N=C=S)C2C1,C=C(C)[C@]1(OO)CC[C@@]2(C)CCC[C@@](C)(N=C=S)[C@@H]2C1,2.999
FQNP552,C=C(C)C1(O)CCC2(C)CCCC(C)(N=C=S)C2C1,C=C(C)[C@]1(O)CC[C@@]2(C)CCC[C@@](C)(N=C=S)[C@@H]2C1,2.841
FQNP639,COc1cc2c3c(c(SCCC(N)=O)c4c(OC)cccc4c3c1OC)NOC2=O,COc1cc2c3c(c(SCCC(N)=O)c4c(OC)cccc4c3c1OC)NOC2=O,0.265
FQNP640,COc1cc(C=CC(=O)CSc2c3c4c(cc(OC)c(OC)c4c4cccc(OC)c24)C(=O)ON3)ccc1O,COc1cc(C=CC(=O)CSc2c3c4c(cc(OC)c(OC)c4c4cccc(OC)c24)C(=O)ON3)ccc1O,0.651
FQNP262,Oc1cc(O)cc(O)c1,Oc1cc(O)cc(O)c1,0.771
FQNP315,Oc1ccc(CCc2cc(O)cc(O)c2)cc1,Oc1ccc(CCc2cc(O)cc(O)c2)cc1,0.704
FQNP314,Oc1cccc(CCc2cc(O)cc(O)c2)c1,Oc1cccc(CCc2cc(O)cc(O)c2)c1,0.656
FQNP394,Cc1cc(O)cc(O)c1,Cc1cc(O)cc(O)c1,0.868
FQNP513,Cc1coc2c(O)c3c(c(C)c12)C(C)CCC3,Cc1coc2c(O)c3c(c(C)c12)[C@@H](C)CCC3,1.64
FQNP608,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC3(C)OC3C21,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CC[C@@]3(C)O[C@H]3[C@H]21,2.219
