Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,IC50,Standard Units,pChEMBL Value,NEW_SMILES,HBA,HBD,RB,LogP,TPSA,MW,pIC50,Activity
"""CHEMBL2336409",Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,IC50,'=',11220.0,nM,4.95,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]c(=N)[nH]1,4,5,4,4.329090000000002,125.03999999999999,461.52900000000005,4.950007143079858,Not Active
"""CHEMBL1361703",COc1ccccc1CNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,IC50,'=',7110.0,nM,5.15,COc1ccccc1CNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,6,1,7,3.976600000000003,90.66,416.4330000000001,5.148130399270234,Not Active
"""CHEMBL1322848",COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc4c(s3)CCC4)CC2)cc1,IC50,'=',11300.0,nM,4.95,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc4c(s3)CCC4)CC2)cc1,5,0,4,2.3921,66.92000000000002,406.5290000000002,4.94692155651658,Not Active
"""CHEMBL1373655",CC1=NN(c2cccc(C(=O)O)c2)C(=O)/C1=C\C=C\c1ccco1,IC50,'=',1180.0,nM,5.93,C=c1[nH]n(-c2cccc(C(=O)O)c2)c(=O)c1=CC=Cc1ccco1,4,2,4,1.361,88.23,322.32000000000005,5.928117992693874,Active
"""CHEMBL1529285",O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1,IC50,'=',10100.0,nM,5.0,O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1,4,3,5,5.151200000000004,95.5,464.5180000000001,4.995678626217358,Not Active
"""CHEMBL1301673",C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C=C/C=C/C)C3)c1,IC50,'=',3250.0,nM,5.49,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CC=CC)C3)c1,5,2,6,2.2828999999999997,114.09,422.4850000000001,5.488116639021126,Not Active
"""CHEMBL1916517",CN(C)CC1CC(c2ccc([N+](=O)[O-])cc2)=NO1,IC50,'=',150000.0,nM,3.82,CN(C)CC1CC(c2ccc([N+](=O)[O-])cc2)=NO1,5,0,4,1.6494000000000002,67.97,249.26999999999998,3.8239087409443187,Not Active
"""CHEMBL4203933",CCc1ccc(-c2cc(NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,IC50,'=',316.23,nM,6.5,CCc1ccc(-c2cc(=NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,6,1,9,5.638700000000005,66.23,532.7290000000005,6.499996931948306,Active
"""CHEMBL1340117",C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C=C/CC)C3)c1,IC50,'=',5960.0,nM,5.22,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CCC)C3)c1,5,2,6,2.1167999999999996,114.09,410.47400000000016,5.2247537402597635,Not Active
"""CHEMBL1356373",O=C(O)CCc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2N2CCCC2)cc1,IC50,'=',11700.0,nM,4.93,O=C(O)CCc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2N2CCCC2)cc1,4,2,7,4.123600000000003,86.71,442.4590000000002,4.931814138253839,Not Active
"""CHEMBL1983083",O=C(COc1ccc(/C=N/NC(=O)c2ccc(O)cc2)cc1)Nc1ccc([N+](=O)[O-])cc1,IC50,'=',8430.0,nM,5.07,O=C(COc1ccc(C=NNC(=O)c2ccc(O)cc2)cc1)Nc1ccc([N+](=O)[O-])cc1,7,3,8,3.081800000000001,143.16,434.4080000000001,5.074172425375258,Not Active
"""CHEMBL1893341",COC(=O)c1ccc(C(=O)OC)c(NC(=O)Cc2cccs2)c1,IC50,'=',8170.0,nM,5.09,COC(=O)c1ccc(C(=O)OC)c(NC(=O)Cc2cccs2)c1,6,1,5,2.5025000000000004,81.70000000000002,333.36499999999995,5.087777943467584,Not Active
"""CHEMBL1373095",O=C(Nc1cccc(S(=O)(=O)NC2=NCCC2)c1)c1cc(-c2ccco2)nc2ccccc12,IC50,'=',3710.0,nM,5.43,O=C(Nc1cccc(S(=O)(=O)N=C2CCCN2)c1)c1cc(-c2ccco2)nc2ccccc12,5,2,5,4.217700000000003,113.66,460.5150000000001,5.430626090384954,Not Active
"""CHEMBL4177036",COc1cc2c(NC3CCN(C)CC3)cc(C3=CCOCC3)nc2cc1OCCCN1CCCC1,IC50,'=',957.0,nM,6.02,COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCOCC3)[nH]c2cc1OCCCN1CCCC1,6,1,8,3.839800000000003,62.32,480.6530000000005,6.019088062223156,Active
"""CHEMBL4176464",CCc1ccc(-c2cc(NC3CCN(C4CC4)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,IC50,'=',274.0,nM,6.56,CCc1ccc(-c2cc(=NC3CCN(C4CC4)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,6,1,10,5.391100000000005,66.23,518.7020000000003,6.562249437179612,Active
"""CHEMBL3414630",CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1,IC50,'=',4000.0,nM,5.4,CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1,5,2,20,6.367300000000006,81.75,548.7720000000005,5.3979400086720375,Not Active
"""CHEMBL3126646",Cc1cc(Nc2cccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)c2)nc(N)n1,IC50,'=',9000.0,nM,5.05,Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1,4,5,4,4.329090000000002,125.03999999999999,461.52900000000005,5.045757490560675,Not Active
"""CHEMBL1981446",O=C(N/N=C/c1cn(Cc2cccc(F)c2)c2ccccc12)c1cc(O)cc(O)c1,IC50,'=',2390.0,nM,5.62,O=C(NN=Cc1cn(Cc2cccc(F)c2)c2ccccc12)c1cc(O)cc(O)c1,5,3,5,4.003800000000004,86.85000000000001,403.4130000000001,5.621602099051863,Active
"""CHEMBL1433062",COc1ccc(OC)c(N2C(=O)[C@H]3ON=C(c4ccccc4Cl)[C@H]3C2=O)c1,IC50,'=',4350.0,nM,5.36,COc1ccc(OC)c(-n2c(O)c3onc(-c4ccccc4Cl)c3c2O)c1,7,2,4,4.367300000000004,89.88000000000001,386.7910000000001,5.361510743045363,Not Active
"""CHEMBL1322547",C/C=C/C=C/C(=O)C1=C(O)[C@]2(C)C(=O)C(C)(O)[C@H]1[C@H]([C@]1(C)OC(O)=C(C)C1=O)[C@H]2C(=O)/C=C/C=C/C,IC50,'=',5250.0,nM,5.28,CC=CC=CC(=O)C1C(=O)C2(C)C(=O)C(C)(O)C1C(C1(C)OC(=O)C(C)C1=O)C2C(=O)C=CC=CC,8,1,7,2.2973999999999997,131.88,496.55600000000027,5.279840696594043,Not Active
"""CHEMBL3126652",Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4cc(C)nc(N)n4)cc3)cc2)nc(N)n1,IC50,'=',68000.0,nM,4.17,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc(C)[nH]c(=N)[nH]4)cc3)cc2)[nH]c(=N)[nH]1,5,7,4,2.2918799999999995,164.67999999999998,441.499,4.167491087293763,Not Active
