ID,SMILES,Data set
"""CHEMBL2336409",Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL1361703",COc1ccccc1CNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,DNMT1
"""CHEMBL1322848",COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc4c(s3)CCC4)CC2)cc1,DNMT1
"""CHEMBL1373655",C=c1[nH]n(-c2cccc(C(=O)O)c2)c(=O)c1=CC=Cc1ccco1,DNMT1
"""CHEMBL1529285",O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1,DNMT1
"""CHEMBL1301673",C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CC=CC)C3)c1,DNMT1
"""CHEMBL1916517",CN(C)CC1CC(c2ccc([N+](=O)[O-])cc2)=NO1,DNMT1
"""CHEMBL4203933",CCc1ccc(-c2cc(=NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,DNMT1
"""CHEMBL1340117",C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CCC)C3)c1,DNMT1
"""CHEMBL1356373",O=C(O)CCc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2N2CCCC2)cc1,DNMT1
"""CHEMBL1983083",O=C(COc1ccc(C=NNC(=O)c2ccc(O)cc2)cc1)Nc1ccc([N+](=O)[O-])cc1,DNMT1
"""CHEMBL1893341",COC(=O)c1ccc(C(=O)OC)c(NC(=O)Cc2cccs2)c1,DNMT1
"""CHEMBL1373095",O=C(Nc1cccc(S(=O)(=O)N=C2CCCN2)c1)c1cc(-c2ccco2)nc2ccccc12,DNMT1
"""CHEMBL4177036",COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCOCC3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4176464",CCc1ccc(-c2cc(=NC3CCN(C4CC4)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,DNMT1
"""CHEMBL3414630",CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1,DNMT1
"""CHEMBL3126646",Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL1981446",O=C(NN=Cc1cn(Cc2cccc(F)c2)c2ccccc12)c1cc(O)cc(O)c1,DNMT1
"""CHEMBL1433062",COc1ccc(OC)c(-n2c(O)c3onc(-c4ccccc4Cl)c3c2O)c1,DNMT1
"""CHEMBL1322547",CC=CC=CC(=O)C1C(=O)C2(C)C(=O)C(C)(O)C1C(C1(C)OC(=O)C(C)C1=O)C2C(=O)C=CC=CC,DNMT1
"""CHEMBL3126652",Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc(C)[nH]c(=N)[nH]4)cc3)cc2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL4211688",CCc1ccc(-c2cc(=NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,DNMT1
"""CHEMBL552246",N=c1[nH]cnc2c1nnn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
"""CHEMBL1536256",COc1ccc(-c2nn(-c3ccccc3)cc2C=C2SC(=S)N(CCC(=O)O)C2=O)cc1,DNMT1
"""CHEMBL1543134",O=C(C=Cc1ccco1)N=CC(=O)NNc1c(O)[nH]c2ccccc12,DNMT1
"""CHEMBL1558195",CCOc1ccc(NC(=O)c2cccc(-n3cccc3)c2)cc1S(=O)(=O)N1CCOCC1,DNMT1
"""CHEMBL1303509",O=C(O)c1ccccc1-c1ccc(C=c2sc3nc4cc(Br)cnc4n3c2=O)o1,DNMT1
"""CHEMBL1508582",CCN(CC)CCCN=c1[nH]c2cc(OC)c(OC)cc2c2nc(-c3cccnc3)nn12,DNMT1
"""CHEMBL1347385",O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(Sc2cccc3ccccc23)o1,DNMT1
"""CHEMBL1464200",Nc1cc(S(=O)(=O)O)cc([N+](=O)[O-])c1O,DNMT1
"""CHEMBL1890961",O=C1C=C(N2CC2)c2ccccc2C1=O,DNMT1
"""CHEMBL1539325",CC1(C)CCCN(C(=O)c2coc(=O)c(Br)c2)C1,DNMT1
"""CHEMBL1462469",COc1ccc(-c2csc(=NC(=O)CSc3nc(C)nc4sc(C(=O)O)c(C)c34)[nH]2)cc1,DNMT1
"""CHEMBL1522300",COc1ccc(N2Cc3cccc(C(=O)N4CCN(C(=O)c5ccco5)CC4)c3C2=O)cc1,DNMT1
"""CHEMBL1231795",COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(C3CCCCC3)nc2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4173668",COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCCCC3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL1231795",COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(C3CCCCC3)nc2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL561047",N=c1[nH]ccc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
"""CHEMBL556265",NC(CCSCC1OC(n2cnc3c(=NCc4ccccc4)[nH]cnc32)C(O)C1O)C(=O)O,DNMT1
"""CHEMBL1397359",COc1ccc(C(=O)OCC(=O)N=c2[nH]cc([N+](=O)[O-])s2)cc1OC,DNMT1
"""CHEMBL1440076",O=C(C=Cc1ccc(Br)cc1)NC(=S)Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,DNMT1
"""CHEMBL418052",N=c1[nH]cnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
"""CHEMBL557902",N=c1[nH]cnc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O,DNMT1
"""CHEMBL558882",N=c1[nH]c(I)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
"""CHEMBL560105",NC(CCSCC1OC(n2cnc3c(=NCCCc4ccccc4)[nH]cnc32)C(O)C1O)C(=O)O,DNMT1
"""CHEMBL552763",NC(CCSCC1OC(n2cnc3c(=NCCc4ccc(-c5ccccc5)cc4)[nH]c(Cl)nc32)C(O)C1O)C(=O)O,DNMT1
"""CHEMBL1605668",COc1ccc(C(=O)C=Cc2ccc(-c3ccccc3)cc2)cc1CSCC(=O)O,DNMT1
"""CHEMBL2005181",Cc1cc(C)c2nc3sc(=Cc4ccc(-c5ccccc5C(=O)O)o4)c(=O)n3c2c1,DNMT1
"""CHEMBL1707222",COC1=C(Br)C(=O)c2nc(C)ccc2C1=O,DNMT1
"""CHEMBL374740",O=C1Nc2c(Cl)cc(Cl)cc2C1=O,DNMT1
"""CHEMBL1421559",Cc1oc2c(c1C(=O)c1ccc(Cl)cc1)C(=O)C(=O)c1ccccc1-2,DNMT1
"""CHEMBL1981657",N=C(NN=Cc1ccc(-c2ccc(O)c(C(=O)O)c2)o1)N[N+](=O)[O-],DNMT1
"""CHEMBL1464373",O=C(COC(=O)c1ccc(NS(=O)(=O)c2cccs2)cc1)NCc1ccco1,DNMT1
"""CHEMBL1509377",C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)COc2ccc(Cl)cc2)C3)c1,DNMT1
"""CHEMBL3126646",Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL1569215",O=C1NN(c2ccc(Cl)cc2)C(=O)C1=Cc1ccc(-c2cccc(C(=O)O)c2)o1,DNMT1
"""CHEMBL1607517",O=C1c2ccccc2-c2cccc3cccc1c23,DNMT1
